
Line_#	Simulink_#	Time	AcuitySize	Right_Wrong
0	start	454737	15.14	StaticAcuity
1	457429	2820	-1	Show Acuity
2	459263	4729	3	True
3	461102	6645	-1	Show Acuity
4	462963	8584	0	False
5	464522	10208	-1	Show Acuity
6	465909	11653	9	True
7	467448	13257	-1	Show Acuity
8	469156	15036	6	True
9	471288	17257	-1	Show Acuity
10	472963	19001	6	True
11	474329	20424	-1	Show Acuity
12	475915	22077	7	True
13	477442	23667	-1	Show Acuity
14	479068	25362	9	True
15	480381	26730	-1	Show Acuity
16	481928	28341	2	True
17	483642	30126	-1	Show Acuity
18	485082	31626	4	True
19	486509	33113	-1	Show Acuity
20	488295	34973	6	True
21	490442	37210	-1	Show Acuity
22	492055	38890	3	True
23	493655	40557	-1	Show Acuity
24	495901	42897	2	False
25	497221	44272	-1	Show Acuity
26	498815	45932	5	True
27	500642	47835	-1	Show Acuity
28	502308	49571	10	True
29	504429	51781	-1	Show Acuity
30	505861	53273	4	True
31	507201	54669	-1	Show Acuity
32	508597	56122	10	True
33	510142	57732	-1	Show Acuity
34	511609	59260	9	True
35	513661	61398	-1	Show Acuity
36	515121	62919	3	True
37	517228	65114	-1	Show Acuity
38	518676	66622	11	True
39	520781	68816	-1	Show Acuity
40	522215	70309	8	True
41	523994	72163	-1	Show Acuity
42	525394	73622	8	True
43	527408	75719	-1	Show Acuity
44	528822	77192	6	True
45	530481	78921	-1	Show Acuity
46	531868	80365	4	True
47	533834	82413	-1	Show Acuity
48	535235	83873	9	True
49	536621	85316	-1	Show Acuity
50	538021	86775	10	True
51	540021	88858	-1	Show Acuity
52	541588	90490	8	True
53	542961	91921	-1	Show Acuity
54	544374	93393	2	True
55	545814	94893	-1	Show Acuity
56	547254	96393	2	True
57	548487	97678	-1	Show Acuity
58	550094	99352	1	False
59	552007	101345	-1	Show Acuity
60	553435	102833	5	True
61	554960	104422	-1	Show Acuity
62	556435	105957	3	True
63	558594	108207	-1	Show Acuity
64	560067	109741	9	True
65	561434	111165	-1	Show Acuity
66	562874	112665	11	True
67	564808	114680	-1	Show Acuity
68	566975	116937	1	True
69	568501	118527	-1	Show Acuity
70	569887	119972	6	True
71	571174	121312	-1	Show Acuity
72	572747	122950	10	True
73	574100	124360	-1	Show Acuity
74	576827	127201	8	True
75	578227	128659	-1	Show Acuity
76	579640	130131	10	True
77	581361	131924	-1	Show Acuity
78	582754	133375	2	True
79	584480	135173	-1	Show Acuity
80	585886	136639	7	True
81	587247	138055	-1	Show Acuity
82	588615	139481	5	True
83	590087	141014	-1	Show Acuity
84	591901	142904	1	True
85	594053	145146	-1	Show Acuity
86	595727	146889	0	False
87	596953	148167	-1	Show Acuity
88	598326	149598	1	True
89	600233	151584	-1	Show Acuity
90	601727	153140	5	True
91	603694	155189	-1	Show Acuity
92	606120	157716	0	False
93	608187	159869	-1	Show Acuity
94	609633	161376	8	True
95	610986	162786	-1	Show Acuity
96	613001	164885	7	True
97	614948	166912	-1	Show Acuity
98	617227	169287	2	True
99	618906	171036	-1	Show Acuity
100	622407	174683	4	False
101	623959	176301	-1	Show Acuity
102	625613	178023	11	True
103	626913	179377	-1	Show Acuity
104	629813	182398	5	True
105	631226	183870	-1	Show Acuity
106	633079	185801	1	False
107	634586	187371	-1	Show Acuity
108	636247	189101	10	True
109	637946	190871	-1	Show Acuity
110	640394	193421	4	True
111	642059	195156	-1	Show Acuity
112	643566	196725	11	True
113	645339	198573	-1	Show Acuity
114	647367	200685	1	False
115	648746	202122	-1	Show Acuity
116	650473	203921	7	True
117	651959	205469	-1	Show Acuity
118	654567	208185	0	False
119	656639	210344	-1	Show Acuity
120	658333	212109	7	True
121	660173	214025	-1	Show Acuity
122	661746	215665	0	False
123	662999	216970	-1	Show Acuity
124	664939	218991	5	True
125	666553	220672	-1	Show Acuity
126	669199	223428	7	True
127	670826	225124	-1	Show Acuity
128	673039	227429	0	False
129	674999	229470	-1	Show Acuity
130	676572	231109	6	True
131	678006	232603	-1	Show Acuity
132	679447	234104	3	True
133	680926	235644	-1	Show Acuity
134	682446	237228	9	True
135	683766	238603	-1	Show Acuity
136	685459	240367	4	True
137	687345	242332	-1	Show Acuity
138	688879	243929	11	True
139	690385	245499	-1	Show Acuity
140	691919	247097	3	True
141	693718	248971	-1	Show Acuity
142	695405	250728	8	True
143	697039	252431	-1	Show Acuity
144	698754	254217	11	True
145	start	700479	256013.74	DynamicAcuity
146	715498	271660	-1	Show Acuity
147	716605	272813	3	True
148	719525	275855	-1	Show Acuity
149	720652	277029	0	False
150	723178	279660	-1	Show Acuity
151	724305	280835	9	True
152	727398	284057	-1	Show Acuity
153	728365	285064	6	True
154	730825	287627	-1	Show Acuity
155	732751	289633	6	True
156	734952	291925	-1	Show Acuity
157	736151	293175	7	True
158	738338	295453	-1	Show Acuity
159	739691	296863	9	True
160	742826	300128	-1	Show Acuity
161	744032	301385	2	True
162	746604	304065	-1	Show Acuity
163	747818	305329	4	True
164	750591	308218	-1	Show Acuity
165	751772	309448	6	True
166	754845	312649	-1	Show Acuity
167	756346	314213	3	True
168	758958	316934	-1	Show Acuity
169	761031	319093	2	True
170	763451	321615	-1	Show Acuity
171	764612	322824	5	True
172	767297	325622	-1	Show Acuity
173	768518	326893	10	True
174	771151	329636	-1	Show Acuity
175	772351	330886	4	True
176	774731	333365	-1	Show Acuity
177	775759	334437	10	True
178	778531	337324	-1	Show Acuity
179	779604	338442	9	True
180	781711	340636	-1	Show Acuity
