
Line_#	Simulink_#	Time	AcuitySize	Right_Wrong
210	711166	392861	-1	Show Acuity
211	712226	393966	4	False
212	716139	398042	-1	Show Acuity
213	717166	399112	8	False
214	721986	404133	-1	Show Acuity
215	722826	405007	6	False
216	725779	408084	-1	Show Acuity
217	726572	408911	8	True
218	730320	412814	-1	Show Acuity
219	731592	414140	8	False
220	739359	422231	-1	Show Acuity
221	740026	422925	7	True
222	743980	427044	-1	Show Acuity
223	744732	427828	6	True
224	749499	432794	-1	Show Acuity
225	751319	434690	7	False
226	754772	438287	-1	Show Acuity
227	755658	439211	5	True
228	759172	442871	-1	Show Acuity
229	760452	444204	3	False
230	765566	449531	-1	Show Acuity
231	766719	450733	0	False
232	771372	455580	-1	Show Acuity
233	772965	457240	9	False
234	779938	464504	-1	Show Acuity
235	781739	466379	4	True
236	785658	470463	-1	Show Acuity
237	786885	471741	6	True
238	790038	475025	-1	Show Acuity
239	792205	477283	8	True
240	795765	480991	-1	Show Acuity
241	796838	482109	8	True
242	802305	487804	-1	Show Acuity
243	803492	489041	9	True
244	807272	492978	-1	Show Acuity
245	808265	494013	4	False
246	812192	498104	-1	Show Acuity
247	813065	499013	3	True
248	821491	507792	-1	Show Acuity
249	822398	508736	1	False
250	825865	512348	-1	Show Acuity
251	826651	513167	4	False
252	830531	517209	-1	Show Acuity
253	831858	518591	5	False
254	835951	522855	-1	Show Acuity
255	837259	524217	8	True
256	841138	528258	-1	Show Acuity
257	842318	529487	1	True
258	846271	533606	-1	Show Acuity
259	848091	535501	5	False
260	852698	540300	-1	Show Acuity
261	853817	541467	6	False
262	858651	546502	-1	Show Acuity
263	859598	547489	6	False
264	863097	551134	-1	Show Acuity
265	864077	552155	0	False
266	868257	556510	-1	Show Acuity
267	869157	557447	7	False
268	872851	561295	-1	Show Acuity
269	875778	564344	9	False
270	880504	569267	-1	Show Acuity
271	881604	570413	9	False
272	895450	584838	-1	Show Acuity
273	896410	585838	9	False
274	900964	590581	-1	Show Acuity
275	901630	591276	6	False
276	909263	599227	-1	Show Acuity
277	910323	600331	8	False
278	921090	611548	-1	Show Acuity
279	922550	613068	0	True
280	926163	616832	-1	Show Acuity
281	927043	617749	5	False
282	935370	626424	-1	Show Acuity
283	936523	627625	5	False
284	941036	632326	-1	Show Acuity
285	941969	633299	3	False
286	945923	637417	-1	Show Acuity
287	948116	639702	2	False
288	954109	645945	-1	Show Acuity
289	955343	647230	2	True
290	958749	650779	-1	Show Acuity
291	959703	651772	5	False
292	963376	655599	-1	Show Acuity
293	965716	658036	4	True
294	970163	662669	-1	Show Acuity
295	971576	664141	7	False
296	975229	667946	-1	Show Acuity
297	976029	668780	3	False
298	984496	677600	-1	Show Acuity
299	985383	678524	5	True
300	988269	681531	-1	Show Acuity
301	988962	682253	2	True
302	992649	686093	-1	Show Acuity
303	996196	689789	6	False
304	1008682	702796	-1	Show Acuity
305	1009462	703609	9	True
306	1012803	707088	-1	Show Acuity
307	1018502	713026	5	True
308	1027322	722214	-1	Show Acuity
309	1028182	723110	9	True
310	1031168	726221	-1	Show Acuity
311	1032109	727200	2	False
312	1040968	736430	-1	Show Acuity
313	1042355	737874	4	False
314	1050542	746403	-1	Show Acuity
315	1053121	749090	2	False
316	1056408	752514	-1	Show Acuity
317	1059648	755889	4	True
318	1068968	765598	-1	Show Acuity
319	1070902	767613	1	False
320	1075302	772196	-1	Show Acuity
321	1076188	773120	8	False
322	1080341	777446	-1	Show Acuity
323	1081328	778474	0	False
324	1085334	782648	-1	Show Acuity
325	1088661	786113	3	True
326	1096434	794211	-1	Show Acuity
327	1097922	795760	9	True
328	1108934	807232	-1	Show Acuity
329	1109854	808191	7	False
330	1113381	811865	-1	Show Acuity
331	1114967	813518	2	False
332	1118734	817441	-1	Show Acuity
333	1120414	819192	7	False
334	1123820	822740	-1	Show Acuity
335	1126494	825525	0	False
336	1130347	829539	-1	Show Acuity
337	1131340	830574	0	False
338	1135334	834734	-1	Show Acuity
339	1136780	836241	1	True
340	1138874	838422	-1	Show Acuity
341	1139800	839387	9	True
342	1147493	847401	-1	Show Acuity
343	1148334	848276	8	False
344	1152393	852506	-1	Show Acuity
345	1155173	855402	2	False
346	1158740	859117	-1	Show Acuity
347	1159960	860388	4	False
348	1163473	864048	-1	Show Acuity
349	1165793	866465	1	False
350	1170780	871660	-1	Show Acuity
351	1173533	874528	0	False
352	1178253	879445	-1	Show Acuity
353	1180067	881334	7	False
354	1185699	887202	-1	Show Acuity
355	1188186	889793	2	False
356	1195200	897099	-1	Show Acuity
357	1197140	899120	6	False
358	1200466	902585	-1	Show Acuity
359	1201693	903863	1	False
360	1217686	920524	-1	Show Acuity
361	1218966	921857	1	False
362	start	1221546	924544.70	PostDynamicAcuity
363	1232486	935941	-1	Show Acuity
364	1233392	936886	3	False
365	1236739	940372	-1	Show Acuity
366	1237505	941171	4	True
367	1241093	944908	-1	Show Acuity
368	1242546	946421	2	False
369	1248925	953067	-1	Show Acuity
370	1249912	954095	3	False
371	1261872	966554	-1	Show Acuity
372	1262938	967666	3	False
373	1266878	971770	-1	Show Acuity
374	1268225	973173	0	False
375	1271912	977013	-1	Show Acuity
376	1273405	978569	6	True
377	1277645	982986	-1	Show Acuity
378	1279752	985180	0	False
379	1283752	989347	-1	Show Acuity
380	1286625	992341	7	False
381	1290458	996334	-1	Show Acuity
382	1291405	997320	1	False
383	1295945	1002049	-1	Show Acuity
384	1297571	1003744	7	False
385	1302191	1008557	-1	Show Acuity
386	1303245	1009654	1	False
387	1306524	1013071	-1	Show Acuity
388	1309138	1015794	5	False
389	1313684	1020529	-1	Show Acuity
390	1315531	1022453	3	True
391	1319531	1026620	-1	Show Acuity
392	1321658	1028836	4	False
393	1325491	1032829	-1	Show Acuity
394	1326844	1034239	8	True
395	1331017	1038586	-1	Show Acuity
396	1332591	1040225	6	True
397	1337304	1045135	-1	Show Acuity
398	1338831	1046725	8	True
399	1342384	1050427	-1	Show Acuity
400	1345351	1053517	8	False
401	1350118	1058483	-1	Show Acuity
402	1351051	1059455	7	True
403	1355231	1063810	-1	Show Acuity
404	1356157	1064775	6	False
405	1361584	1070428	-1	Show Acuity
406	1362504	1071386	7	False
407	1367517	1076609	-1	Show Acuity
408	1368723	1077866	5	False
409	1377430	1086936	-1	Show Acuity
410	1378644	1088200	3	False
411	1384110	1093895	-1	Show Acuity
412	1385310	1095145	0	False
413	1388797	1098777	-1	Show Acuity
414	1390097	1100131	9	True
415	1394350	1104562	-1	Show Acuity
416	1400431	1110896	4	False
417	1404490	1115125	-1	Show Acuity
418	1405357	1116028	6	True
419	1409323	1120160	-1	Show Acuity
420	1410283	1121160	8	True
421	1414310	1125355	-1	Show Acuity
422	1415817	1126925	8	False
423	1420623	1131932	-1	Show Acuity
424	1421596	1132945	9	True
425	1426290	1137835	-1	Show Acuity
426	1427723	1139328	4	False
427	1432130	1143919	-1	Show Acuity
428	1433663	1145516	3	False
429	1438823	1150891	-1	Show Acuity
430	1439863	1151975	1	False
431	1442896	1155134	-1	Show Acuity
432	1445056	1157385	4	True
433	1454163	1166871	-1	Show Acuity
434	1454896	1167635	5	True
435	1459336	1172261	-1	Show Acuity
436	1461242	1174247	8	False
437	1464849	1178004	-1	Show Acuity
438	1466229	1179441	1	False
439	1470369	1183754	-1	Show Acuity
440	1478442	1192164	5	False
441	1482449	1196338	-1	Show Acuity
442	1483569	1197505	6	True
443	1487829	1201943	-1	Show Acuity
444	1488769	1202922	6	False
445	1492242	1206540	-1	Show Acuity
446	1493702	1208061	0	False
447	1497575	1212097	-1	Show Acuity
448	1498555	1213117	7	True
449	1502222	1216937	-1	Show Acuity
450	1505216	1220055	9	False
451	1510055	1225097	-1	Show Acuity
452	1511015	1226097	9	True
453	1515182	1230438	-1	Show Acuity
454	1516575	1231889	9	True
455	1519575	1235014	-1	Show Acuity
456	1520902	1236396	6	True
457	1524342	1239980	-1	Show Acuity
458	1525421	1241104	8	True
459	1531035	1246952	-1	Show Acuity
460	1532228	1248196	0	False
461	1535508	1251613	-1	Show Acuity
462	1536574	1252723	5	True
463	1541921	1258293	-1	Show Acuity
464	1543095	1259516	5	True
465	1546048	1262592	-1	Show Acuity
466	1547555	1264162	3	False
467	1551681	1268460	-1	Show Acuity
468	1552568	1269384	2	False
469	1555848	1272801	-1	Show Acuity
470	1557068	1274072	2	True
471	1562255	1279476	-1	Show Acuity
472	1563181	1280440	5	True
473	1566987	1284406	-1	Show Acuity
474	1568342	1285816	4	False
475	1571661	1289274	-1	Show Acuity
476	1572527	1290177	7	True
477	1575814	1293601	-1	Show Acuity
478	1576727	1294552	3	False
479	1580441	1298421	-1	Show Acuity
480	1581508	1299532	5	False
481	1584994	1303164	-1	Show Acuity
482	1586494	1304726	2	False
483	1589354	1307706	-1	Show Acuity
484	1590314	1308706	6	True
485	1593574	1312102	-1	Show Acuity
486	1594441	1313005	9	True
487	1597494	1316185	-1	Show Acuity
488	1598775	1317520	5	True
489	1602387	1321283	-1	Show Acuity
490	1603434	1322373	9	True
491	1606374	1325436	-1	Show Acuity
492	1607634	1326749	2	False
493	1611347	1330617	-1	Show Acuity
