
Line_#	Simulink_#	Time	AcuitySize	Right_Wrong
0	start	53765	15.21	StaticAcuity
1	55805	2140	-1	Show Acuity
2	57444	3847	3	True
3	59277	5757	-1	Show Acuity
4	60837	7382	4	True
5	62930	9563	-1	Show Acuity
6	64404	11098	2	True
7	66370	13146	-1	Show Acuity
8	67850	14688	3	True
9	69643	16556	-1	Show Acuity
10	71243	18223	3	True
11	72983	20036	-1	Show Acuity
12	74991	22127	0	False
13	76597	23800	-1	Show Acuity
14	78244	25515	6	True
15	79777	27113	-1	Show Acuity
16	82170	29605	0	False
17	83930	31439	-1	Show Acuity
18	85410	32981	7	True
19	86737	34363	-1	Show Acuity
20	88123	35807	1	True
21	90150	37919	-1	Show Acuity
22	91744	39578	7	True
23	93884	41808	-1	Show Acuity
24	95170	43148	1	True
25	97250	45315	-1	Show Acuity
26	98557	46676	5	True
27	100704	48912	-1	Show Acuity
28	102137	50406	3	True
29	103490	51815	-1	Show Acuity
30	104856	53239	4	True
31	106243	54683	-1	Show Acuity
32	107656	56156	8	True
33	109543	58121	-1	Show Acuity
34	110863	59496	6	True
35	112644	61351	-1	Show Acuity
36	113957	62720	8	True
37	115816	64656	-1	Show Acuity
38	117143	66038	8	True
39	118789	67754	-1	Show Acuity
40	120150	69171	7	True
41	121650	70733	-1	Show Acuity
42	124870	74087	6	False
43	126536	75824	-1	Show Acuity
44	127903	77247	7	True
45	129943	79373	-1	Show Acuity
46	131270	80755	5	True
47	133036	82595	-1	Show Acuity
48	134356	83970	3	True
49	136290	85984	-1	Show Acuity
50	137563	87311	0	False
51	138777	88575	-1	Show Acuity
52	140056	89908	9	True
53	141549	91463	-1	Show Acuity
54	142829	92797	4	True
55	144437	94471	-1	Show Acuity
56	145750	95839	6	True
57	147563	97728	-1	Show Acuity
58	148903	99124	8	True
59	150203	100478	-1	Show Acuity
60	151549	101880	8	True
61	153116	103513	-1	Show Acuity
62	154409	104860	9	True
63	156396	106930	-1	Show Acuity
64	157809	108402	4	True
65	159909	110590	-1	Show Acuity
66	161209	111944	3	True
67	163062	113874	-1	Show Acuity
68	165256	116159	1	False
69	167223	118208	-1	Show Acuity
70	168529	119569	4	True
71	169909	121007	-1	Show Acuity
72	171249	122403	5	True
73	173249	124487	-1	Show Acuity
74	174643	125938	8	True
75	175922	127271	-1	Show Acuity
76	177190	128591	1	True
77	188916	140807	-1	Show Acuity
78	190602	142564	5	True
79	192135	144161	-1	Show Acuity
80	193456	145536	6	True
81	195402	147564	-1	Show Acuity
82	196735	148953	6	False
