
Line_#	Simulink_#	Time	AcuitySize	Right_Wrong
0	start	4298610	14.45	StaticAcuity
1	4300929	2430	-1	Show Acuity
2	4302103	3653	3	True
3	4303455	5062	-1	Show Acuity
4	4304449	6097	4	True
5	4306448	8180	-1	Show Acuity
6	4309456	11313	2	True
7	4311455	13396	-1	Show Acuity
8	4312714	14708	3	True
9	4313948	15993	-1	Show Acuity
10	4315235	17333	3	True
11	4317108	19285	-1	Show Acuity
12	4318595	20833	0	False
13	4320481	22799	-1	Show Acuity
14	4321455	23813	6	False
15	4323202	25633	-1	Show Acuity
16	4325035	27542	0	False
17	4326929	29515	-1	Show Acuity
18	4328228	30869	7	True
19	4330341	33070	-1	Show Acuity
20	4331642	34425	1	True
21	4333694	36563	-1	Show Acuity
22	4335041	37966	7	False
23	4336475	39460	-1	Show Acuity
24	4337721	40758	1	True
25	4339608	42723	-1	Show Acuity
26	4340668	43829	5	True
27	4342721	45967	-1	Show Acuity
28	4343788	47078	3	True
29	4345474	48835	-1	Show Acuity
30	4346709	50121	4	True
31	4348175	51648	-1	Show Acuity
32	4349348	52870	8	True
33	4350968	54558	-1	Show Acuity
34	4352181	55822	6	True
35	4354115	57836	-1	Show Acuity
36	4355234	59002	8	True
37	4356754	60586	-1	Show Acuity
38	4357921	61801	8	True
39	4359467	63412	-1	Show Acuity
40	4360721	64718	7	True
41	4361934	65982	-1	Show Acuity
42	4363288	67392	6	True
43	4365288	69475	-1	Show Acuity
44	4366534	70774	7	True
45	4367781	72072	-1	Show Acuity
46	4369169	73518	5	True
47	4370427	74830	-1	Show Acuity
48	4371748	76205	3	True
49	4373548	78080	-1	Show Acuity
50	4374954	79545	0	False
51	4376834	81504	-1	Show Acuity
52	4378068	82790	9	True
53	4379708	84497	-1	Show Acuity
54	4380974	85816	4	True
55	4382694	87608	-1	Show Acuity
56	4383907	88873	6	True
57	4385707	90747	-1	Show Acuity
58	4386954	92046	8	True
59	4389115	94297	-1	Show Acuity
60	4390307	95539	8	True
61	4392367	97685	-1	Show Acuity
62	4393607	98977	9	True
63	4395794	101255	-1	Show Acuity
64	4397074	102588	4	True
65	4399167	104769	-1	Show Acuity
66	4400380	106033	3	True
67	4402067	107790	-1	Show Acuity
68	4403347	109123	1	True
69	4404734	110568	-1	Show Acuity
70	4405953	111839	4	True
71	4407647	113603	-1	Show Acuity
72	4408960	114971	5	True
73	4410754	116839	-1	Show Acuity
74	4411987	118124	8	True
75	4413234	119423	-1	Show Acuity
76	4414515	120757	1	True
77	4416280	122596	-1	Show Acuity
78	4417380	123742	5	True
79	4419047	125479	-1	Show Acuity
80	4420233	126715	6	True
81	4421727	128270	-1	Show Acuity
82	4422993	129590	6	True
83	4424294	130945	-1	Show Acuity
84	4425567	132270	0	False
85	4427340	134118	-1	Show Acuity
86	4428580	135409	7	False
87	4429854	136736	-1	Show Acuity
88	4431693	138653	9	True
89	4433566	140604	-1	Show Acuity
90	4434887	141980	9	False
91	4436966	144146	-1	Show Acuity
92	4438273	145507	9	True
93	4439786	147084	-1	Show Acuity
94	4441073	148424	6	False
95	4442779	150202	-1	Show Acuity
96	4444573	152070	8	True
97	4445939	153494	-1	Show Acuity
98	4447460	155078	0	False
99	4448873	156550	-1	Show Acuity
100	4450193	157925	5	True
101	4452233	160050	-1	Show Acuity
102	4453553	161426	5	True
103	4455286	163231	-1	Show Acuity
104	4456613	164613	3	True
105	4457973	166030	-1	Show Acuity
106	4459246	167356	2	True
107	4460493	168655	-1	Show Acuity
108	4461840	170058	2	True
109	4463700	171995	-1	Show Acuity
110	4465153	173509	5	True
111	4467160	175600	-1	Show Acuity
112	4468399	176891	4	False
113	4469719	178266	-1	Show Acuity
114	4470939	179537	7	True
115	4472314	180969	-1	Show Acuity
116	4473666	182378	3	True
117	4475719	184517	-1	Show Acuity
118	4476953	185802	5	True
119	4478406	187316	-1	Show Acuity
120	4479640	188601	2	True
121	4481373	190406	-1	Show Acuity
122	4482593	191677	6	False
123	4483860	192997	-1	Show Acuity
124	4485113	194302	9	True
125	4487132	196406	-1	Show Acuity
126	4488592	197927	5	True
127	4489846	199233	-1	Show Acuity
128	4491112	200552	9	True
129	4492379	201872	-1	Show Acuity
130	4493686	203233	2	True
131	4495366	204983	-1	Show Acuity
132	4496565	206233	4	True
133	4498272	208011	-1	Show Acuity
134	4499506	209296	2	True
135	4500859	210706	-1	Show Acuity
136	4502139	212039	4	True
137	4504299	214289	-1	Show Acuity
138	4505592	215637	1	False
139	4507026	217130	-1	Show Acuity
140	4508279	218436	8	True
141	4510379	220623	-1	Show Acuity
142	4511779	222082	0	False
143	4513039	223394	-1	Show Acuity
144	4514346	224755	3	True
145	4516072	226554	-1	Show Acuity
146	4517412	227950	9	True
147	4519052	229658	-1	Show Acuity
148	4520399	231061	7	True
149	4522246	232985	-1	Show Acuity
150	4523579	234374	2	True
151	4524885	235735	-1	Show Acuity
152	4526192	237097	7	True
153	4527632	238597	-1	Show Acuity
154	4528919	239937	0	False
155	4530639	241728	-1	Show Acuity
156	4531999	243145	0	False
157	4533765	244986	-1	Show Acuity
158	4535092	246367	1	False
159	4536978	248333	-1	Show Acuity
160	4538312	249722	9	True
161	4540059	251542	-1	Show Acuity
162	4541358	252896	8	True
163	4543145	254757	-1	Show Acuity
164	4544625	256299	2	True
165	4545932	257660	-1	Show Acuity
166	4547352	259139	4	True
167	4549445	261320	-1	Show Acuity
168	4550759	262689	1	True
169	4552572	264577	-1	Show Acuity
170	4553825	265883	0	False
171	4555291	267410	-1	Show Acuity
172	4556578	268751	7	True
173	4557938	270168	-1	Show Acuity
174	4559219	271502	2	True
175	4561232	273599	-1	Show Acuity
176	4562551	274973	6	True
177	4564426	276926	-1	Show Acuity
178	4565711	278266	1	True
179	4567358	279981	-1	Show Acuity
180	4568678	281356	1	True
181	start	4569938	282668.38	DynamicAcuity
182	4587865	301343	-1	Show Acuity
183	4588838	302357	3	True
184	4592018	305670	-1	Show Acuity
185	4592965	306657	4	True
186	4596371	310205	-1	Show Acuity
187	4597464	311344	2	False
188	4605177	319379	-1	Show Acuity
