
Line_#	Simulink_#	Time	AcuitySize	Right_Wrong
0	start	1206727	14.67	StaticAcuity
1	1208620	1987	-1	Show Acuity
2	1210366	3806	3	True
3	1212245	5764	-1	Show Acuity
4	1226879	21008	0	True
5	1228373	22564	-1	Show Acuity
6	1229885	24140	9	True
7	1231565	25890	-1	Show Acuity
8	1232965	27349	6	True
9	1234486	28932	-1	Show Acuity
10	1235819	30321	6	True
11	1237518	32091	-1	Show Acuity
12	1238859	33488	7	True
13	1240478	35175	-1	Show Acuity
14	1241838	36592	9	True
15	1243746	38579	-1	Show Acuity
16	1245165	40058	2	False
17	1246319	41260	-1	Show Acuity
18	1247672	42669	4	True
19	1248946	43996	-1	Show Acuity
20	1250325	45433	6	True
21	1251945	47120	-1	Show Acuity
22	1253219	48448	3	True
23	1254612	49899	-1	Show Acuity
24	1255919	51260	2	True
25	1257072	52461	-1	Show Acuity
26	1258419	53865	5	True
27	1259959	55469	-1	Show Acuity
28	1261506	57080	10	True
29	1262632	58253	-1	Show Acuity
30	1263945	59621	4	True
31	1265358	61094	-1	Show Acuity
32	1266832	62629	10	True
33	1267999	63844	-1	Show Acuity
34	1269405	65309	9	True
35	1271098	67073	-1	Show Acuity
36	1272778	68823	3	True
37	1274399	70511	-1	Show Acuity
38	1275706	71873	11	True
39	1277198	73428	-1	Show Acuity
40	1278512	74797	8	True
41	1279685	76018	-1	Show Acuity
42	1281132	77525	8	False
43	1282545	78998	-1	Show Acuity
44	1283851	80359	6	True
45	1285005	81560	-1	Show Acuity
46	1286251	82859	4	True
47	1287818	84491	-1	Show Acuity
48	1289211	85942	9	True
49	1291171	87984	-1	Show Acuity
50	1292419	89283	10	True
51	1294018	90950	-1	Show Acuity
52	1295291	92276	8	True
53	1296725	93769	-1	Show Acuity
54	1297991	95089	2	False
55	1299118	96263	-1	Show Acuity
56	1300585	97791	2	True
57	1302155	99436	-1	Show Acuity
58	1303531	100860	1	True
59	1305451	102860	-1	Show Acuity
60	1306958	104430	5	True
61	1308239	105764	-1	Show Acuity
62	1309978	107576	3	True
63	1311924	109604	-1	Show Acuity
64	1313538	111284	9	True
65	1315598	113430	-1	Show Acuity
66	1317111	115007	11	True
67	1318531	116486	-1	Show Acuity
68	1319865	117876	1	True
69	1321857	119951	-1	Show Acuity
70	1323191	121340	6	True
71	1324938	123160	-1	Show Acuity
72	1327058	125369	10	True
73	1328211	126570	-1	Show Acuity
74	1329537	127952	8	True
75	1331151	129633	-1	Show Acuity
76	1332471	131008	10	True
77	1334231	132841	-1	Show Acuity
78	1335711	134383	2	True
79	1337038	135765	-1	Show Acuity
80	1338365	137148	7	True
81	1339884	138730	-1	Show Acuity
82	1341751	140675	5	True
83	1343718	142725	-1	Show Acuity
84	1345212	144280	1	True
85	1346724	145856	-1	Show Acuity
86	1349711	148968	0	False
87	1351758	151099	-1	Show Acuity
88	1353184	152585	1	False
89	1354377	153829	-1	Show Acuity
90	1355717	155224	5	True
91	1357265	156837	-1	Show Acuity
92	1358797	158433	0	False
93	1360724	160440	-1	Show Acuity
94	1362118	161892	8	True
95	1363957	163808	-1	Show Acuity
96	1365490	165406	7	False
97	1366897	166871	-1	Show Acuity
98	1368404	168441	2	True
99	1370011	170114	-1	Show Acuity
100	1371550	171718	4	True
101	1373457	173705	-1	Show Acuity
102	1375224	175545	11	True
103	1376503	176878	-1	Show Acuity
104	1378077	178517	5	True
105	1379404	179900	-1	Show Acuity
106	1381824	182421	1	False
107	1383657	184330	-1	Show Acuity
108	1386125	186901	10	True
109	1387783	188629	-1	Show Acuity
110	1389450	190365	4	True
111	1390877	191851	-1	Show Acuity
112	1392750	193803	11	True
113	1394743	195879	-1	Show Acuity
114	1396357	197561	1	True
115	1398404	199693	-1	Show Acuity
116	1400983	202380	7	False
117	1403043	204526	-1	Show Acuity
118	1404930	206491	0	False
119	1406124	207735	-1	Show Acuity
120	1407610	209284	7	True
121	1409336	211082	-1	Show Acuity
122	1411063	212881	0	False
123	1412623	214506	-1	Show Acuity
124	1414204	216152	5	True
125	1415629	217638	-1	Show Acuity
126	1417138	219209	7	True
127	1418650	220784	-1	Show Acuity
128	1420076	222270	0	False
129	1421476	223729	-1	Show Acuity
130	1422936	225249	6	True
131	1424543	226924	-1	Show Acuity
132	1426890	229368	3	True
133	1428489	231035	-1	Show Acuity
134	1429922	232528	9	True
135	1431296	233958	-1	Show Acuity
136	1432683	235403	4	True
137	1434144	236925	-1	Show Acuity
138	1435590	238432	11	True
139	1437310	240223	-1	Show Acuity
140	1438716	241689	3	True
141	1440276	243313	-1	Show Acuity
142	1447096	250418	8	False
143	1449036	252438	-1	Show Acuity
144	1450463	253925	11	True
145	start	1451549	255056.85	DynamicAcuity
146	1461510	265433	-1	Show Acuity
147	1462749	266724	3	True
148	1465789	269891	-1	Show Acuity
149	1466929	271078	0	True
150	1469602	273863	-1	Show Acuity
151	1470583	274885	9	True
152	1473749	278184	-1	Show Acuity
153	1474669	279141	6	True
154	1477522	282114	-1	Show Acuity
155	1478449	283079	6	True
156	1481349	286101	-1	Show Acuity
157	1482282	287073	7	True
158	1485169	290080	-1	Show Acuity
159	1486055	291003	9	True
160	1489175	294254	-1	Show Acuity
161	1490208	295330	2	True
162	1493135	298379	-1	Show Acuity
163	1494509	299810	4	True
164	1497116	302525	-1	Show Acuity
165	1498183	303637	6	True
166	1501082	306657	-1	Show Acuity
167	1502222	307845	3	True
168	1505242	310991	-1	Show Acuity
169	1506469	312269	2	True
170	1508942	314845	-1	Show Acuity
171	1509928	315873	5	True
172	1512802	318866	-1	Show Acuity
173	1513708	319811	10	True
174	1515662	321846	-1	Show Acuity
175	1516655	322880	4	True
176	1519242	325576	-1	Show Acuity
177	1520149	326520	10	True
178	1522735	329214	-1	Show Acuity
179	1523708	330228	9	True
180	1527881	334575	-1	Show Acuity
181	1528861	335596	3	True
182	1531188	338020	-1	Show Acuity
183	1532268	339145	11	True
184	1535115	342111	-1	Show Acuity
185	1536008	343041	8	True
186	1539174	346340	-1	Show Acuity
187	1540168	347375	8	True
188	1542689	350001	-1	Show Acuity
189	1543614	350965	6	True
190	1546274	353736	-1	Show Acuity
191	1547181	354681	4	True
192	1549714	357320	-1	Show Acuity
193	1551294	358966	9	True
194	1554354	362154	-1	Show Acuity
195	1555314	363154	10	True
196	1557894	365841	-1	Show Acuity
197	1558761	366744	8	True
198	1561227	369314	-1	Show Acuity
199	1562394	370529	2	True
200	1565347	373606	-1	Show Acuity
201	1566328	374626	2	True
202	1568987	377397	-1	Show Acuity
203	1570008	378460	1	False
204	1572294	380842	-1	Show Acuity
205	1573235	381822	5	False
206	1575041	383704	-1	Show Acuity
207	1575901	384599	3	True
208	1578820	387641	-1	Show Acuity
209	1579834	388696	9	True
210	1582961	391954	-1	Show Acuity
211	1583801	392829	11	True
212	1586514	395656	-1	Show Acuity
213	1587547	396732	1	True
214	1589868	399149	-1	Show Acuity
215	1590647	399961	6	True
216	1593234	402656	-1	Show Acuity
217	1595008	404504	10	True
218	1597527	407128	-1	Show Acuity
219	1598448	408087	8	True
220	1601400	411163	-1	Show Acuity
221	1602281	412081	10	True
222	1604881	414789	-1	Show Acuity
223	1605867	415817	2	True
224	1607907	417942	-1	Show Acuity
225	1608787	418858	7	True
226	1611493	421678	-1	Show Acuity
227	1612947	423192	5	False
228	1615454	425803	-1	Show Acuity
229	1617173	427595	1	True
230	1619153	429657	-1	Show Acuity
231	1620181	430728	0	False
232	1622726	433380	-1	Show Acuity
233	1624421	435145	1	False
234	1627187	438026	-1	Show Acuity
235	1628067	438943	5	True
236	1630527	441506	-1	Show Acuity
237	1631801	442833	0	False
238	1634040	445165	-1	Show Acuity
239	1634933	446096	8	True
240	1638006	449298	-1	Show Acuity
241	1638960	450291	7	True
242	1641626	453069	-1	Show Acuity
243	1642706	454194	2	True
244	1644640	456208	-1	Show Acuity
245	1645613	457222	4	True
246	1648300	460020	-1	Show Acuity
247	1649233	460993	11	True
248	1652320	464209	-1	Show Acuity
249	1653207	465133	5	True
250	1655926	467965	-1	Show Acuity
251	1658093	470223	1	True
252	1660980	473230	-1	Show Acuity
253	1662020	474313	10	True
254	1664473	476869	-1	Show Acuity
255	1665306	477737	4	True
256	1667553	480077	-1	Show Acuity
257	1668513	481077	11	True
258	1671126	483800	-1	Show Acuity
259	1672439	485168	1	True
260	1674566	487383	-1	Show Acuity
261	1675420	488273	7	True
262	1678119	491085	-1	Show Acuity
263	1679586	492613	0	False
264	1681826	494946	-1	Show Acuity
265	1682673	495829	7	True
266	1685239	498502	-1	Show Acuity
267	1686687	500010	0	False
268	1689412	502849	-1	Show Acuity
269	1690226	503697	5	True
270	1693493	507100	-1	Show Acuity
271	1694327	507969	7	True
272	1696505	510239	-1	Show Acuity
273	1697419	511190	0	False
274	1702785	516781	-1	Show Acuity
275	1704392	518454	6	True
276	1707199	521378	-1	Show Acuity
277	1708279	522503	3	True
278	1710599	524920	-1	Show Acuity
279	1711380	525734	9	True
280	1714013	528477	-1	Show Acuity
281	1714773	529269	4	True
282	1717439	532046	-1	Show Acuity
283	1718272	532914	11	True
284	1720945	535699	-1	Show Acuity
285	1721826	536616	3	True
286	1724372	539268	-1	Show Acuity
287	1725213	540144	8	True
288	1727559	542588	-1	Show Acuity
289	1728385	543449	11	True
290	start	1730018	545150.49	PostDynamicAcuity
291	1736825	552241	-1	Show Acuity
292	1737978	553443	3	True
293	1740105	555658	-1	Show Acuity
294	1741112	556707	0	False
295	1743578	559276	-1	Show Acuity
296	1744472	560208	9	True
297	1749985	565950	-1	Show Acuity
298	1750931	566937	6	True
299	1753732	569854	-1	Show Acuity
300	1754798	570965	6	True
301	1757538	573819	-1	Show Acuity
302	1758498	574819	7	True
303	1762031	578500	-1	Show Acuity
304	1762845	579347	9	True
305	1765665	582285	-1	Show Acuity
306	1766645	583306	2	True
307	1769725	586514	-1	Show Acuity
308	1770618	587445	4	True
309	1773658	590611	-1	Show Acuity
310	1774465	591453	6	True
311	1777984	595119	-1	Show Acuity
312	1778891	596063	3	True
313	1782617	599945	-1	Show Acuity
314	1783471	600835	2	True
315	1786758	604258	-1	Show Acuity
316	1787712	605252	5	True
317	1790171	607814	-1	Show Acuity
318	1791557	609258	10	True
319	1794958	612800	-1	Show Acuity
320	1795937	613821	4	True
321	1798551	616544	-1	Show Acuity
322	1799358	617385	10	True
323	1802551	620711	-1	Show Acuity
324	1803417	621613	9	True
325	1806885	625226	-1	Show Acuity
326	1808824	627246	3	False
327	1811457	629989	-1	Show Acuity
328	1812551	631128	11	True
329	1815824	634538	-1	Show Acuity
330	1816625	635372	8	True
331	1819517	638385	-1	Show Acuity
332	1820365	639268	8	True
333	1823084	642101	-1	Show Acuity
334	1823944	642997	6	True
335	1826364	645518	-1	Show Acuity
336	1827750	646962	4	True
337	1830730	650066	-1	Show Acuity
338	1831658	651032	9	True
339	1834537	654032	-1	Show Acuity
340	1835350	654879	10	True
341	1838437	658095	-1	Show Acuity
342	1839230	658921	8	True
343	1842517	662345	-1	Show Acuity
344	1843324	663185	2	True
345	1846451	666444	-1	Show Acuity
346	1847331	667360	2	True
347	1850337	670491	-1	Show Acuity
348	1851523	671727	1	True
349	1854070	674380	-1	Show Acuity
350	1855263	675624	5	True
351	1857637	678097	-1	Show Acuity
352	1858490	678985	3	True
353	1860923	681520	-1	Show Acuity
354	1861723	682353	9	True
355	1864083	684812	-1	Show Acuity
356	1865003	685770	11	True
357	1867216	688076	-1	Show Acuity
358	1868256	689159	1	False
359	1870977	691993	-1	Show Acuity
360	1871777	692826	6	True
361	1874269	695423	-1	Show Acuity
362	1875063	696250	10	True
363	1877850	699153	-1	Show Acuity
364	1878657	699993	8	True
365	1881924	703397	-1	Show Acuity
366	1882656	704160	10	True
367	1885070	706674	-1	Show Acuity
368	1886023	707667	2	True
369	1888250	709987	-1	Show Acuity
370	1889036	710806	7	True
371	1891136	712994	-1	Show Acuity
372	1891903	713793	5	True
373	1894816	716827	-1	Show Acuity
374	1895816	717869	1	False
375	1898623	720793	-1	Show Acuity
376	1900690	722946	0	False
377	1903883	726273	-1	Show Acuity
378	1904930	727363	1	True
379	1907536	730078	-1	Show Acuity
380	1908656	731245	5	True
381	1911089	733780	-1	Show Acuity
382	1912063	734794	0	False
383	1914549	737384	-1	Show Acuity
384	1915337	738205	8	True
385	1918516	741516	-1	Show Acuity
386	1919964	743025	7	True
387	1922683	745858	-1	Show Acuity
388	1923499	746712	2	True
389	1926216	749538	-1	Show Acuity
390	1927183	750545	4	True
391	1930029	753510	-1	Show Acuity
392	1930850	754366	11	True
393	1933736	757372	-1	Show Acuity
394	1934536	758205	5	True
395	1937242	761025	-1	Show Acuity
396	1938502	762337	1	False
397	1941889	765865	-1	Show Acuity
398	1942776	766789	10	True
399	1945622	769754	-1	Show Acuity
400	1946562	770733	4	True
401	1949629	773928	-1	Show Acuity
402	1950475	774810	11	True
403	1952936	777373	-1	Show Acuity
404	1955035	779560	1	False
405	1957702	782338	-1	Show Acuity
406	1958569	783241	7	True
407	1961009	785783	-1	Show Acuity
408	1963089	787950	0	False
409	1965242	790193	-1	Show Acuity
410	1966162	791152	7	True
411	1968789	793889	-1	Show Acuity
412	1970988	796179	0	False
413	1973915	799228	-1	Show Acuity
414	1974976	800333	5	True
415	1977402	802860	-1	Show Acuity
416	1978216	803709	7	True
417	1980795	806395	-1	Show Acuity
418	1981822	807465	0	True
419	1984836	810605	-1	Show Acuity
420	1985735	811542	6	True
421	1988768	814701	-1	Show Acuity
422	1989782	815758	3	True
423	1992495	818584	-1	Show Acuity
424	1993355	819480	9	True
425	1995982	822216	-1	Show Acuity
426	1996901	823174	4	True
427	1999648	826035	-1	Show Acuity
428	2000488	826911	11	True
429	2003015	829543	-1	Show Acuity
430	2003854	830417	3	True
431	2009008	835786	-1	Show Acuity
432	2010068	836890	8	True
433	2012961	839904	-1	Show Acuity
434	2013895	840877	11	True
435	start	2015981	843050.33	PostDynamicAcuity
436	2054001	882657	-1	Show Acuity
437	2055561	884282	3	False
438	2061301	890262	-1	Show Acuity
439	2062521	891533	0	False
440	2067794	897026	-1	Show Acuity
441	2069714	899026	9	True
442	2074560	904075	-1	Show Acuity
443	2075887	905457	6	True
444	2079594	909318	-1	Show Acuity
445	2080580	910346	6	True
446	2085587	915562	-1	Show Acuity
447	2086727	916749	7	False
448	2089200	919326	-1	Show Acuity
449	2090194	920361	9	True
450	2092300	922555	-1	Show Acuity
451	2093333	923631	2	True
452	2096288	926709	-1	Show Acuity
453	2097327	927792	4	True
454	2100013	930590	-1	Show Acuity
455	2101007	931626	6	True
456	2103707	934438	-1	Show Acuity
457	2105047	935834	3	False
458	2107880	938785	-1	Show Acuity
459	2110413	941424	2	False
460	2113367	944501	-1	Show Acuity
461	2114647	945834	5	True
462	2117133	948425	-1	Show Acuity
463	2118961	950329	10	True
464	2121640	953120	-1	Show Acuity
465	2122767	954294	4	True
466	2125174	956801	-1	Show Acuity
467	2126113	957780	10	True
468	2131320	963203	-1	Show Acuity
469	2132160	964078	9	True
470	2134846	966877	-1	Show Acuity
471	2135813	967884	3	True
472	2139060	971267	-1	Show Acuity
473	2140060	972309	11	True
474	2142246	974586	-1	Show Acuity
475	2144153	976573	8	True
476	2146193	978698	-1	Show Acuity
477	2147206	979753	8	True
478	2149779	982434	-1	Show Acuity
479	2150639	983330	6	True
480	2153706	986524	-1	Show Acuity
481	2154746	987608	4	True
482	2157419	990393	-1	Show Acuity
483	2158821	991852	9	True
484	2161432	994573	-1	Show Acuity
485	2162353	995532	10	True
486	2164713	997990	-1	Show Acuity
487	2165793	999116	8	True
488	2168526	1001963	-1	Show Acuity
489	2169692	1003178	2	True
490	2172066	1005651	-1	Show Acuity
491	2173412	1007053	2	False
492	2175892	1009637	-1	Show Acuity
493	2177406	1011213	1	True
494	2179826	1013734	-1	Show Acuity
495	2181913	1015909	5	False
496	2184479	1018582	-1	Show Acuity
497	2186032	1020200	3	True
498	2189245	1023547	-1	Show Acuity
499	2190247	1024590	9	True
500	2192752	1027200	-1	Show Acuity
501	2194213	1028722	11	True
502	2196625	1031235	-1	Show Acuity
503	2197753	1032410	1	False
504	2201938	1036770	-1	Show Acuity
505	2203078	1037958	6	True
506	2205539	1040521	-1	Show Acuity
507	2206572	1041598	10	True
508	2209432	1044576	-1	Show Acuity
509	2210485	1045674	8	True
510	2213032	1048327	-1	Show Acuity
511	2213972	1049306	10	True
512	2216966	1052425	-1	Show Acuity
513	2218119	1053626	2	True
514	2220412	1056015	-1	Show Acuity
515	2221859	1057522	7	True
516	2224559	1060334	-1	Show Acuity
517	2225605	1061425	5	True
518	2227945	1063862	-1	Show Acuity
519	2228991	1064952	1	True
520	2231478	1067543	-1	Show Acuity
521	2232905	1069029	0	False
522	2235825	1072071	-1	Show Acuity
523	2237831	1074161	1	False
524	2240459	1076898	-1	Show Acuity
525	2241632	1078120	5	True
526	2244238	1080836	-1	Show Acuity
527	2245645	1082301	0	False
528	2248085	1084843	-1	Show Acuity
529	2249224	1086030	8	True
530	2252258	1089190	-1	Show Acuity
531	2253258	1090232	7	True
532	2256131	1093225	-1	Show Acuity
533	2257438	1094586	2	True
534	2259871	1097121	-1	Show Acuity
535	2260832	1098122	4	True
536	2263524	1100927	-1	Show Acuity
537	2264758	1102212	11	True
538	2267665	1105240	-1	Show Acuity
539	2268584	1106198	5	True
540	2271771	1109518	-1	Show Acuity
541	2272877	1110670	1	True
542	2275625	1113532	-1	Show Acuity
543	2276464	1114407	10	True
544	2279591	1117664	-1	Show Acuity
545	2280558	1118671	4	True
546	2282944	1121157	-1	Show Acuity
547	2284037	1122296	11	True
548	2286571	1124935	-1	Show Acuity
549	2288591	1127040	1	False
550	2290637	1129172	-1	Show Acuity
551	2291538	1130110	7	True
552	2294264	1132950	-1	Show Acuity
553	2295564	1134304	0	False
554	2298437	1137297	-1	Show Acuity
555	2299511	1138416	7	True
556	2302205	1141222	-1	Show Acuity
557	2303244	1142305	0	False
558	2305670	1144832	-1	Show Acuity
559	2306670	1145874	5	True
560	2309550	1148874	-1	Show Acuity
561	2310510	1149874	7	True
562	2312784	1152243	-1	Show Acuity
563	2313704	1153202	0	False
564	2316231	1155833	-1	Show Acuity
565	2317091	1156730	6	True
566	2319151	1158875	-1	Show Acuity
567	2320223	1159993	3	True
568	2322490	1162354	-1	Show Acuity
569	2323311	1163210	9	True
570	2325183	1165160	-1	Show Acuity
571	2326137	1166153	4	False
572	2328297	1168403	-1	Show Acuity
573	2329057	1169195	11	True
574	2330943	1171160	-1	Show Acuity
575	2332004	1172265	3	True
576	2335070	1175459	-1	Show Acuity
577	2335817	1176237	8	True
578	2338117	1178633	-1	Show Acuity
579	2338970	1179522	11	True

