
Line_#	Simulink_#	Time	AcuitySize	Right_Wrong
0	start	782056	22.52	StaticAcuity
1	784228	2285	-1	Show Acuity
2	789561	7840	3	True
3	791574	9937	-1	Show Acuity
4	793034	11459	4	True
5	794487	12972	-1	Show Acuity
6	796574	15147	2	True
7	798707	17369	-1	Show Acuity
8	801241	20008	3	True
9	802580	21403	-1	Show Acuity
10	804867	23786	3	True
11	806960	25966	-1	Show Acuity
12	809094	28189	0	True
13	810801	29968	-1	Show Acuity
14	814000	33300	6	True
15	816067	35453	-1	Show Acuity
16	819307	38828	0	False
17	820534	40106	-1	Show Acuity
18	822227	41870	7	True
19	823887	43599	-1	Show Acuity
20	825347	45120	1	True
21	827201	47052	-1	Show Acuity
22	828821	48739	7	True
23	830320	50301	-1	Show Acuity
24	831881	51927	1	True
25	833693	53815	-1	Show Acuity
26	839413	59774	5	True
27	841280	61718	-1	Show Acuity
28	842967	63476	3	True
29	844433	65003	-1	Show Acuity
30	846387	67039	4	True
31	848473	69212	-1	Show Acuity
32	850173	70983	8	True
33	852286	73184	-1	Show Acuity
34	853820	74782	6	True
35	855886	76935	-1	Show Acuity
36	857473	78588	8	True
37	858740	79908	-1	Show Acuity
38	860440	81678	8	True
39	862153	83463	-1	Show Acuity
40	885713	108006	7	True
41	887752	110131	-1	Show Acuity
42	895532	118236	6	True
43	897426	120208	-1	Show Acuity
44	899159	122013	7	True
45	901332	124277	-1	Show Acuity
46	906073	129216	5	True
47	907725	130938	-1	Show Acuity
48	909245	132521	3	True
49	911372	134736	-1	Show Acuity
50	914012	137487	0	False
51	915659	139202	-1	Show Acuity
52	917073	140675	9	True
53	918753	142425	-1	Show Acuity
54	920633	144384	4	True
55	922192	146008	-1	Show Acuity
56	924485	148397	6	True
57	926552	150550	-1	Show Acuity
58	928739	152828	8	True
59	930366	154523	-1	Show Acuity
60	931912	156133	8	True
61	933318	157599	-1	Show Acuity
62	934692	159030	9	True
63	936738	161162	-1	Show Acuity
64	938278	162766	4	True
65	940411	164989	-1	Show Acuity
66	942112	166759	3	True
67	943598	168308	-1	Show Acuity
68	944952	169718	1	True
69	946598	171433	-1	Show Acuity
70	948225	173128	4	True
71	950192	175177	-1	Show Acuity
72	952253	177324	5	True
73	954312	179468	-1	Show Acuity
74	956625	181878	8	True
75	958645	183982	-1	Show Acuity
76	960905	186337	1	True
77	962512	188011	-1	Show Acuity
78	964525	190108	5	True
79	966371	192032	-1	Show Acuity
80	968451	194198	6	True
81	970331	196157	-1	Show Acuity
82	974758	200768	6	True
83	976778	202872	-1	Show Acuity
84	978324	204484	0	True
85	979718	205935	-1	Show Acuity
86	981158	207435	7	True
87	982765	209109	-1	Show Acuity
88	984144	210547	9	True
89	986325	212818	-1	Show Acuity
90	988051	214616	9	True
91	989451	216075	-1	Show Acuity
92	991058	217748	9	True
93	993204	219985	-1	Show Acuity
94	994798	221644	6	True
95	996544	223464	-1	Show Acuity
96	998351	225346	8	True
97	1000119	227188	-1	Show Acuity
98	1001791	228930	0	True
99	1003404	230610	-1	Show Acuity
100	1005011	232284	5	True
101	1006364	233694	-1	Show Acuity
102	1007764	235152	5	True
103	1009357	236812	-1	Show Acuity
104	1011704	239256	3	True
105	1013504	241132	-1	Show Acuity
