
Line_#	Simulink_#	Time	AcuitySize	Right_Wrong
0	start	2859040	15.14	StaticAcuity
1	2861152	2215	-1	Show Acuity
2	2863045	4187	3	True
3	2865131	6361	-1	Show Acuity
4	2867278	8597	4	True
5	2869318	10722	-1	Show Acuity
6	2871871	13382	2	True
7	2873811	15403	-1	Show Acuity
8	2875738	17410	3	True
9	2877444	19188	-1	Show Acuity
10	2879165	20980	3	True
11	2880391	22258	-1	Show Acuity
12	2883485	25481	0	False
13	2884846	26898	-1	Show Acuity
14	2887104	29251	6	True
15	2889164	31397	-1	Show Acuity
16	2892352	34718	0	False
17	2894411	36863	-1	Show Acuity
18	2896098	38620	7	True
19	2898084	40689	-1	Show Acuity
20	2900344	43043	1	True
21	2902238	45016	-1	Show Acuity
22	2903852	46697	7	True
23	2905151	48051	-1	Show Acuity
24	2906812	49781	1	True
25	2908725	51774	-1	Show Acuity
26	2910264	53377	5	True
27	2912177	55370	-1	Show Acuity
28	2913811	57072	3	True
29	2915137	58454	-1	Show Acuity
30	2916837	60225	4	True
31	2918624	62086	-1	Show Acuity
32	2920305	63837	8	True
33	2921964	65565	-1	Show Acuity
34	2923497	67163	6	True
35	2925050	68781	-1	Show Acuity
36	2926578	70372	8	True
37	2928411	72282	-1	Show Acuity
38	2930051	73990	8	True
39	2932151	76178	-1	Show Acuity
40	2935084	79233	7	True
41	2936337	80539	-1	Show Acuity
42	2938264	82546	6	True
43	2939870	84219	-1	Show Acuity
44	2942124	86567	7	True
45	2943658	88165	-1	Show Acuity
46	2945497	90081	5	True
47	2947343	92005	-1	Show Acuity
48	2949171	93908	3	True
49	2951090	95908	-1	Show Acuity
50	2954317	99269	0	False
51	2956156	101186	-1	Show Acuity
52	2957690	102783	9	True
53	2959710	104887	-1	Show Acuity
54	2961330	106575	4	True
55	2963244	108568	-1	Show Acuity
56	2964924	110318	6	True
57	2966303	111756	-1	Show Acuity
58	2968057	113582	8	True
59	2969810	115409	-1	Show Acuity
60	2971343	117006	8	True
61	2973043	118777	-1	Show Acuity
62	2974503	120298	9	True
63	2976543	122423	-1	Show Acuity
64	2978410	124367	4	True
65	2980456	126500	-1	Show Acuity
66	2981964	128069	3	True
67	2983843	130028	-1	Show Acuity
68	2985683	131944	1	False
69	2987403	133736	-1	Show Acuity
70	2989017	135418	4	True
71	2990656	137125	-1	Show Acuity
72	2992430	138973	5	True
73	2994470	141098	-1	Show Acuity
74	2996023	142716	8	True
75	2997964	144738	-1	Show Acuity
76	3000156	147022	1	False
77	3001970	148911	-1	Show Acuity
78	3003450	150453	5	True
79	3004744	151800	-1	Show Acuity
80	3006423	153550	6	True
81	3008530	155744	-1	Show Acuity
82	3010017	157293	6	True
83	3011909	159265	-1	Show Acuity
84	3013929	161370	0	False
85	3015223	162717	-1	Show Acuity
86	3016789	164349	7	True
87	3018589	166224	-1	Show Acuity
88	3020503	168218	9	True
89	3022369	170162	-1	Show Acuity
90	3023863	171718	9	True
91	3025876	173815	-1	Show Acuity
92	3027376	175378	9	True
93	3029336	177419	-1	Show Acuity
94	3030962	179114	6	True
